Participant ID,Testing Site,Gender,Age,Edu,Pulau,Job_Status,Job_Title,Tenure,Level,Frekuensi Bermain Game,Jenis Game 1 (Action_Adventure),Jenis Game 2 (RPG),Jenis Game 3 (Strategy_Simulation),Jenis Game 4 (Sports_Racing),Jenis Game 5 (Casual_Puzzle),Jenis Game 6 (Not Applicable_Do Not Play),Jenis_Game_n,BFP.O_4item,WC_All,C_Semantic_All,C_Semantic_14item,C_Likert_All,C_Likert_13item,C_S_JE,C_S_DS,C_S_AOL,C_L_JE,C_L_DS,C_L_AOL,main_success_rate,redo_success,total_success,sum_weighted_score,avg_weighted_score,n_skip_hint_under22_reverse,percent_redo_duration_failedround,avg_duration_failed_round,n_redo_failed_round,n_redo_failed_round_exclusive,main_n_skip,main_sum_duration,main_avg_duration,percent_success_hint_after22,humility_bottomlimit,total_n_hint,main_n_hint,redo_n_hint,humility_challenging,n_redo,n_easier,n_same,n_choose_Harder,n_hintsusedat_10,n_hintsusedat_20,n_hintsusedat_30,avg_hintsusedat,n_veryeasy,n_easy,n_normal,n_hard,success_main_r1,success_main_r2,success_main_r3,success_main_r4,success_main_r5,success_main_r6,success_main_r7,success_main_r8,success_main_r9,success_main_r10,mechanic_type_r1,mechanic_type_r2,mechanic_type_r3,mechanic_type_r4,mechanic_type_r5,mechanic_type_r6,mechanic_type_r7,mechanic_type_r8,mechanic_type_r9,mechanic_type_r10,skip_main_r1,skip_main_r2,skip_main_r3,skip_main_r4,skip_main_r5,skip_main_r6,skip_main_r7,skip_main_r8,skip_main_r9,skip_main_r10,difficulty_r1,difficulty_r2,difficulty_r3,difficulty_r4,difficulty_r5,difficulty_r6,difficulty_r7,difficulty_r8,difficulty_r9,difficulty_r10,duration_main_r1,duration_main_r2,duration_main_r3,duration_main_r4,duration_main_r5,duration_main_r6,duration_main_r7,duration_main_r8,duration_main_r9,duration_main_r10,hintuse_main_r1,hintuse_main_r2,hintuse_main_r3,hintuse_main_r4,hintuse_main_r5,hintuse_main_r6,hintuse_main_r7,hintuse_main_r8,hintuse_main_r9,hintuse_main_r10,hintuse_time_main_r1,hintuse_time_main_r2,hintuse_time_main_r3,hintuse_time_main_r4,hintuse_time_main_r5,hintuse_time_main_r6,hintuse_time_main_r7,hintuse_time_main_r8,hintuse_time_main_r9,hintuse_time_main_r10,star_main_r1,star_main_r2,star_main_r3,star_main_r4,star_main_r5,star_main_r6,star_main_r7,star_main_r8,star_main_r9,star_main_r10,roundfailed_percent_1,roundfailed_percent_2,roundfailed_percent_3,difficultychange_1,difficultychange_2,difficultychange_3,redo_n_r1,redo_n_r2,redo_n_r3,redo_n_r4,redo_n_r5,redo_n_r6,redo_n_r7,redo_n_r8,redo_n_r9,redo_n_r10,redo_total_duration,redo_avg_duration,redo_percent_duration
2uibdorakamin1b4,Remote,Laki-laki,24,S1/D4,Jawa,Pekerja,tutor bahasa,1,Freelance,Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,3,4.75,4.6,4.22,4.64,4.57,4.62,2.2,4.33,5.57,4.6,4.5,4.6,80,4,12,21,2.1,100,72.86,45,7,6,0,195.7,19.57,10,33.33,7,3,4,100,8,0,1,66.67,3,3,1,27.9,0,3,3,4,1,1,1,1,1,1,0,1,1,0,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Hard,7.62,11.27,7.08,20.5,11.27,5.05,45,11.97,30.95,45,0,0,0,0,0,0,1,0,1,1,,,,,,,22.23,,23.03,38.43,3,3,3,2,3,3,0,3,1,0,0,0,33.33,Harder,Harder,Same,0,0,0,1,0,0,5,0,0,2,120.81,15.10125,80.54
2uibdorakamin1b5,Remote,Perempuan,18,SMA,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Selalu (Setiap Hari),0,0,0,0,0,0,2,6.00,5.9,4.89,4.29,4.99,5.23,3.2,5.33,5.71,5.2,5.17,4.6,70,9,16,7.5,0.75,100,40.07,45,9,3,0,205.37,20.54,0,100,4,0,4,100,10,3,0,0,0,0,0,0,7,3,0,0,0,1,1,1,0,1,1,0,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,45,16.85,23.15,6.92,45,6.68,6.15,45,4.07,6.55,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,2,2,3,0,3,3,0,3,3,33.33,33.33,33.33,Easier,Easier,Easier,2,1,0,0,2,0,0,5,0,0,114.03,11.403,76.02
2uibdorakamin1b7,Remote,Perempuan,22,SMA,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Tidak Pernah,0,0,0,0,0,0,1,5.00,5,4.89,4.64,5.00,5.00,3.4,4.83,6,4.8,5,5.2,30,0,3,5,0.5,60,0,35.49,0,0,4,309.2,30.92,0,66.67,0,0,0,66.67,0,1,1,33.33,0,0,0,0,0,7,3,0,0,0,1,0,0,1,0,0,1,0,1,2,3,1,2,3,1,2,3,1,0,0,0,1,0,0,1,1,0,1,Easy,Easy,Easy,Easy,Easy,Easy,Normal,Normal,Normal,Easy,45,45,24.7,34.82,55.18,5.07,26.7,31.58,31.02,10.13,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,2,0,0,3,0,0,3,0,66.67,66.67,66.67,Same,Harder,Easier,0,0,0,0,0,0,0,0,0,0,0,0,0
2uibdorakamin1b9,Remote,Perempuan,23,S1/D4,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,4.50,4.6,4.11,4.93,4.50,4.69,1.4,5.33,5,3.8,5.5,4.2,90,4,13,9.5,0.95,80,7.89,45,1,1,0,194.78,19.48,20,33.33,5,5,0,33.33,4,1,2,0,4,4,1,23.69,7,3,0,0,1,0,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,36.93,45,11.75,6.03,44.4,4.35,5.97,29.4,3.57,7.38,1,1,1,0,1,0,0,1,0,0,25.43,29.02,8.62,,34.82,,,20.57,,,1,0,1,3,1,3,3,1,3,3,33.33,0,0,Easier,Same,Same,1,1,0,0,1,0,0,1,0,0,37.22,9.305,24.81333
asrama1a5,In-person,Perempuan,19,SMA,Luar Jawa,Mahasiswa,0,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,3.00,3.8,4.22,4.00,3.84,3.85,3,4.5,4.86,3.4,4.33,3.8,100,3,13,21.5,2.15,60,0,0,0,0,0,176.25,17.62,0,0,4,4,0,66.67,3,0,1,66.67,3,0,0,12.72,0,6,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Easy,Easy,Easy,Normal,Normal,Normal,Hard,35.5,41.77,24.03,7.33,10.18,4.95,12.92,18.1,13.92,7.55,1,1,1,0,0,0,0,0,1,0,10.8,13.45,16.98,,,,,,9.67,,1,1,1,3,3,3,3,2,1,3,0,0,0,Same,Harder,Harder,1,1,0,0,0,0,0,1,0,0,36.59,12.19667,24.39333
asrama1a8,In-person,Perempuan,23,SMA,Jawa,Mahasiswa,0,0,N/A (Bukan Pekerja),Selalu (Setiap Hari),0,0,0,0,0,0,1,4.25,4.2,3.72,4.21,4.69,4.62,3.8,4.83,2.71,4.4,4.67,5,80,7,15,9,0.9,60,20.82,45,3,2,0,184.68,18.47,0,33.33,8,6,2,66.67,7,1,1,33.33,3,2,1,13.03,6,4,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,45,45,20.12,11.85,17.6,5.58,8.02,14.38,8.8,8.33,1,1,1,1,1,0,0,1,0,0,22.13,32.18,13.15,3.53,3.4,,,3.75,,,0,0,1,1,1,3,3,1,3,3,66.67,0,0,Easier,Same,Harder,2,1,0,1,2,0,0,1,0,0,84.15,12.02143,56.1
asrama1a9,In-person,Laki-laki,19,D1/D2/D3,Jawa,Mahasiswa,0,1,Staf,Selalu (Setiap Hari),0,0,0,0,0,0,1,4.00,4.8,4.39,3.57,4.00,4.08,4,3.83,5.14,4,4,4,80,0,8,15,1.5,70,0,45,0,0,0,301.17,30.12,10,0,4,4,0,0,0,1,1,33.33,3,1,1,16.33,0,4,6,0,0,0,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Normal,Normal,Normal,Easy,45,45,18.4,44.53,35.7,27.57,17.47,14.57,37.37,15.57,0,0,0,1,0,1,1,0,1,0,,,,30.83,,17.77,4.82,,11.92,,0,0,2,1,2,1,1,3,1,2,66.67,0,0,Harder,Same,Easier,0,0,0,0,0,0,0,0,0,0,0,0,0
asrama1b4,In-person,Perempuan,18,SMA,Luar Jawa,Mahasiswa,0,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,4.00,3.8,3.11,4.21,3.02,2.92,1.6,3.5,3.86,3.2,2.67,3.2,90,6,15,14.5,1.45,100,11.41,45,1,1,0,209.83,20.98,10,33.33,2,2,0,66.67,6,1,1,33.33,2,2,1,32.02,0,7,3,0,1,1,1,1,1,1,1,0,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Easy,Easy,Easy,Normal,Normal,Normal,Easy,19.05,37.83,5.85,25.7,10.48,4.48,17.33,45,12.18,31.92,0,0,0,0,0,0,0,1,0,1,,,,,,,,40.15,,23.88,2,2,3,2,3,3,2,0,3,1,0,0,33.33,Same,Harder,Easier,1,1,0,1,0,0,1,1,0,1,59.13,9.855,39.42
asrama1b6,In-person,Perempuan,21,SMA,Jawa,Mahasiswa,0,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,5.00,4.6,3.89,3.07,4.01,4.00,3.4,4.17,4,4.2,3.83,4,90,5,14,12,1.2,30,7.58,45,1,1,0,143.73,14.37,0,33.33,7,7,0,66.67,5,1,1,33.33,0,0,0,3.71,3,7,0,0,1,0,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Easy,27.07,45,9.22,8.03,15.12,6.73,8.37,11.47,6.67,6.07,1,1,1,1,0,1,0,1,1,0,9.15,3.18,2.17,2.25,,3.27,,3.25,2.68,,1,0,1,1,2,1,3,1,1,3,33.33,0,0,Same,Easier,Harder,1,1,0,1,1,0,0,1,0,0,52.26,10.452,34.84
asrama1b7,In-person,Perempuan,20,SMA,Jawa,Mahasiswa,8984869350,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,5.50,5.5,4.44,3.93,4.99,4.92,5.2,4,4.29,5.4,4.17,5.4,80,6,14,15,1.5,70,24.38,34.71,2,1,1,189.83,18.98,0,33.33,3,3,0,66.67,8,0,2,33.33,1,1,1,18.23,0,3,7,0,1,1,1,1,0,0,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,1,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Normal,Normal,Normal,Normal,14.27,18.5,8.5,19.85,45,24.42,11.62,18.63,18.97,10.08,1,0,0,0,1,0,0,0,1,0,5.78,,,,42.2,,,,6.7,,1,2,3,2,0,0,3,2,1,3,0,66.67,0,Harder,Same,Same,1,1,0,3,2,0,0,1,0,0,98.13,12.26625,65.42
asrama1b8,In-person,Perempuan,19,SMA,Jawa,Mahasiswa,0,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,3.75,4.4,3.61,4.43,3.94,4.08,3.4,3,4.29,4,3.83,4,40,0,4,9.5,0.95,90,75.98,39.69,7,7,1,294.93,29.49,0,33.33,0,0,0,33.33,7,0,1,66.67,0,0,0,0,0,3,3,4,1,0,1,1,0,1,0,0,0,0,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,1,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Hard,9.82,45,7.35,9.88,45,29.77,45,45,45,13.12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,0,3,3,0,2,0,0,0,0,33.33,33.33,100,Harder,Harder,Same,0,2,0,0,1,0,1,2,0,1,113.97,16.28143,75.98
asramasiang1a0,In-person,Perempuan,19,D1/D2/D3,Jawa,Mahasiswa,81282061934,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,3,5.75,5.2,4.56,3.64,4.16,4.54,2,5.17,5.86,4.2,4.67,3.6,50,0,5,5.5,0.55,40,0,32.52,0,0,4,269.27,26.93,10,66.67,4,4,0,100,0,1,1,33.33,3,2,1,21.46,6,4,0,0,0,0,0,0,1,1,1,1,1,0,1,2,3,1,2,3,1,2,3,1,1,1,1,1,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,30.53,23.5,11.25,52.3,48.07,5.22,29.37,19.35,4.68,45,0,0,0,0,1,0,1,1,0,1,,,,,34.15,,18.97,6.38,,26.33,0,0,0,0,1,3,1,1,3,0,100,33.33,0,Easier,Same,Harder,0,0,0,0,0,0,0,0,0,0,0,0,0
asramasiang1b1,In-person,Perempuan,19,D1/D2/D3,Jawa,Mahasiswa,85811553007,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,4.25,4.5,3.83,4.50,3.69,3.85,3.2,4,4.14,4,3.67,3.4,80,7,15,14,1.4,60,33.28,45,2,2,0,252.23,25.22,0,66.67,6,6,0,100,7,0,2,33.33,4,2,0,14.35,0,6,4,0,1,0,1,1,1,1,1,0,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Easy,Easy,Easy,Normal,Normal,Normal,Normal,34.63,45,11.72,9.35,39.23,6.08,21.85,45,17.57,21.8,1,1,0,0,0,0,1,1,1,1,14.6,27.7,,,,,2.73,24,12.62,4.43,1,0,3,3,2,3,1,0,1,1,33.33,0,33.33,Same,Harder,Same,1,1,0,0,2,0,1,1,0,1,114,16.28571,76
asramaui1a0,In-person,Perempuan,21,SMA,Jawa,Mahasiswa,87876655091,0,N/A (Bukan Pekerja),Selalu (Setiap Hari),0,0,0,0,0,0,1,4.50,3.4,3.5,3.64,3.69,3.38,2.4,3.17,4.57,4,2.67,4.4,100,2,12,29,2.9,70,0,0,0,0,0,130.95,13.09,10,0,4,4,0,66.67,2,0,1,66.67,1,1,0,11.56,0,3,3,4,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Hard,8.72,11.22,5.15,7.53,12.7,15.17,19.3,35.1,10.23,5.83,0,0,0,0,0,1,1,1,1,0,,,,,,8.53,8.35,27.12,2.25,,3,3,3,3,3,1,1,1,1,3,0,0,0,Harder,Harder,Same,0,0,0,0,0,0,1,1,0,0,13.38,6.69,8.92
